GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticket-service,ec.edu.uteq.soporte.ticketservice.presentation.dto,CreateTicketRequest,0,18,0,0,0,1,0,1,0,1
ticket-service,ec.edu.uteq.soporte.ticketservice.presentation.dto,ApiResponse,0,19,0,0,0,2,0,2,0,2
ticket-service,ec.edu.uteq.soporte.ticketservice.presentation.dto,IncidenciaResponse,0,32,0,0,0,2,0,2,0,2
ticket-service,ec.edu.uteq.soporte.ticketservice.presentation.dto,TicketResponse,0,67,0,0,0,5,0,2,0,2
ticket-service,ec.edu.uteq.soporte.ticketservice.presentation.dto,UpdateStatusRequest,0,15,0,0,0,1,0,1,0,1
ticket-service,ec.edu.uteq.soporte.ticketservice.application,ForbiddenException,0,4,0,0,0,2,0,1,0,1
ticket-service,ec.edu.uteq.soporte.ticketservice.application,TicketNotFoundException,0,6,0,0,0,2,0,1,0,1
ticket-service,ec.edu.uteq.soporte.ticketservice.application,TicketAuthorization,0,75,2,20,0,20,2,13,0,4
ticket-service,ec.edu.uteq.soporte.ticketservice.application,TicketWriter,0,36,0,0,0,10,0,3,0,3
ticket-service,ec.edu.uteq.soporte.ticketservice.application,TicketQueryService,0,104,0,20,0,27,0,14,0,4
ticket-service,ec.edu.uteq.soporte.ticketservice.infrastructure.scheduling,EscalationScheduler,0,120,1,7,0,32,1,8,0,5
ticket-service,ec.edu.uteq.soporte.ticketservice.infrastructure.scheduling,EscalationLoggingObserver,0,16,0,0,0,4,0,3,0,3
ticket-service,ec.edu.uteq.soporte.ticketservice.infrastructure.metrics,EscalationMetricsObserver,0,18,0,0,0,8,0,2,0,2
ticket-service,ec.edu.uteq.soporte.ticketservice.infrastructure.metrics,HttpMetricsFilter,0,101,0,2,0,20,0,4,0,3
ticket-service,ec.edu.uteq.soporte.ticketservice.infrastructure.metrics,RepositoryTimingAspect,0,19,0,0,0,6,0,2,0,2
ticket-service,ec.edu.uteq.soporte.ticketservice.infrastructure.metrics,CrdbMetrics,1,58,1,3,0,20,1,5,0,4
ticket-service,ec.edu.uteq.soporte.ticketservice.presentation,TicketController,0,123,0,2,0,27,0,7,0,6
ticket-service,ec.edu.uteq.soporte.ticketservice.presentation,GlobalExceptionHandler,0,66,0,0,0,15,0,8,0,8
ticket-service,ec.edu.uteq.soporte.ticketservice.presentation,IncidenciaController,0,27,0,2,0,8,0,3,0,2
ticket-service,ec.edu.uteq.soporte.ticketservice.domain.correlation,SinCorrelacionStrategy,0,18,0,0,0,7,0,2,0,2
